Source,Target,value
Cahir,Xarthisius,7
Dandelion,Percival,3
Cahir,Seven,3
Dandelion,Seven,3
Milva,Seven,11
Cahir,Dandelion,49
Rience,Vascoigne,5
Millet,Rience,6
Philippa,Vascoigne,4
Kayleigh,Servadio,4
Giselher,Pinto,5
Giselher,Servadio,5
Falka,Servadio,8
Cahir,Yennefer,10
Ciri,Vattier,6
Ida,Vattier,5
Filavandrel,Stefan,5
Filavandrel,Vanadain,6
Vanadain,Vattier,5
Aevenien,Rience,5
Aevenien,Francesca,3
Ida,Philippa,2
Foltest,Keira,6
Foltest,Margarita,5
Margarita,Sabrina,29
Francesca,Keira,15
Fringilla,Philippa,94
Fringilla,Sabrina,23
Fringilla,Keira,31
Aen,Yennefer,5
Francesca,Fringilla,24
Aen,Fringilla,2
Aen,Ida,5
Ida,Yennefer,4
Fringilla,Yennefer,79
Assire,Philippa,1
Assire,Sabrina,12
Fringilla,Margarita,7
Asse,Iskra,3
Kayleigh,Mistle,18
Fringilla,Triss,21
Aen,Philippa,5
Ciri,Fringilla,13
Ciri,Sabrina,26
Lara,Philippa,16
Cregennan,Lara,63
Cregennan,Francesca,5
Aen,Cregennan,4
Cerro,Lara,28
Keira,Lara,6
Francesca,Lara,10
Cerro,Riannon,6
Goidemar,Riannon,31
Falka,Riannon,39
Falka,Fringilla,11
Falka,Francesca,5
Francesca,Vridank,3
Cerro,Vridank,5
Lara,Vridank,5
Falka,Vridank,3
Cerro,Falka,4
Francesca,Riannon,11
Houtborg,Riannon,22
Lara,Riannon,19
Cerro,Goidemar,6
Falka,Goidemar,33
Falka,Houtborg,10
Cregennan,Goidemar,2
Goidemar,Yennefer,5
Augusta,Tissaia,6
Augusta,Francesca,6
Fiona,Goidemar,5
Adela,Fiona,22
Amavet,Fiona,11
Amavet,Philippa,4
Goidemar,Philippa,5
Adela,Falka,8
Amavet,Falka,4
Amavet,Anna,17
Anna,Count,6
Count,Riannon,6
Coram,Goidemar,5
Coram,Falka,6
Fiona,Riannon,11
Ciri,Fiona,5
Fiona,Lara,10
Amavet,Lara,6
Amavet,Muriel,5
Francesca,Muriel,2
Adalia,Sabrina,5
Adalia,Francesca,10
Fiona,Francesca,5
Adalia,Amavet,10
Adalia,Fiona,9
Fiona,Yennefer,3
Amavet,Riannon,5
Corbett,Riannon,5
Corbett,Elen,5
Dagorad,Elen,6
Adalia,Dagorad,10
Dagorad,Lara,4
Fiona,Margarita,6
Amavet,Margarita,6
Anna,Margarita,3
Lara,Margarita,6
Lara,Pavetta,5
Cirilla,Lara,5
Pavetta,Yennefer,13
Fringilla,Geralt,127
Emhyr,Sabrina,16
Ciri,Keira,11
Count,Jolie,6
Falka,Stefan,6
Seven,Talbot,6
Nimue,Yennefer,25
Ciri,Nimue,28
Bronik,Ciri,2
Bronik,Yennefer,8
Nimue,Orla,5
Blood,Geralt,1
Ethain,Geralt,3
Geralt,Yazon,3
Munro,Percival,6
Figgis,Yazon,6
